# mem-guard start x3=31804 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6283
1790328633.032995725 mem_available_mb=5879 swap_used_mb=6283 x3_rss_mb=179 x3_swap_mb=0
1790328633.563215204 mem_available_mb=5784 swap_used_mb=6262 x3_rss_mb=223 x3_swap_mb=0
1790328634.088820620 mem_available_mb=5853 swap_used_mb=6262 x3_rss_mb=223 x3_swap_mb=0
1790328634.624566714 mem_available_mb=5894 swap_used_mb=6262 x3_rss_mb=214 x3_swap_mb=0
1790328635.157537963 mem_available_mb=5893 swap_used_mb=6262 x3_rss_mb=214 x3_swap_mb=0
1790328635.691196765 mem_available_mb=5899 swap_used_mb=6262 x3_rss_mb=214 x3_swap_mb=0
1790328636.220278796 mem_available_mb=5896 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328636.757537754 mem_available_mb=5895 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328637.290263223 mem_available_mb=5893 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328637.819855306 mem_available_mb=5892 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328638.346208848 mem_available_mb=5890 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328638.879807597 mem_available_mb=5897 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328639.416594368 mem_available_mb=5896 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328639.951028274 mem_available_mb=5882 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328640.487328326 mem_available_mb=5876 swap_used_mb=6261 x3_rss_mb=214 x3_swap_mb=0
1790328641.022458274 mem_available_mb=5875 swap_used_mb=6254 x3_rss_mb=214 x3_swap_mb=0
1790328641.555432648 mem_available_mb=5874 swap_used_mb=6254 x3_rss_mb=214 x3_swap_mb=0
1790328642.087432700 mem_available_mb=5900 swap_used_mb=6260 x3_rss_mb=214 x3_swap_mb=0
1790328642.622499992 mem_available_mb=5889 swap_used_mb=6259 x3_rss_mb=214 x3_swap_mb=0
1790328643.161555408 mem_available_mb=5888 swap_used_mb=6259 x3_rss_mb=217 x3_swap_mb=0
1790328643.704852596 mem_available_mb=5851 swap_used_mb=6259 x3_rss_mb=219 x3_swap_mb=0
1790328644.246488272 mem_available_mb=5825 swap_used_mb=6259 x3_rss_mb=219 x3_swap_mb=0
1790328644.812545512 mem_available_mb=5796 swap_used_mb=6259 x3_rss_mb=219 x3_swap_mb=0
1790328645.357095199 mem_available_mb=5794 swap_used_mb=6259 x3_rss_mb=219 x3_swap_mb=0
1790328645.903428011 mem_available_mb=5749 swap_used_mb=6259 x3_rss_mb=220 x3_swap_mb=0
1790328646.434044782 mem_available_mb=5732 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328646.962844730 mem_available_mb=5732 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328647.493124677 mem_available_mb=5721 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328648.026255354 mem_available_mb=5720 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328648.553834156 mem_available_mb=5719 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328649.088353114 mem_available_mb=5718 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328649.628935927 mem_available_mb=5720 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328650.167907645 mem_available_mb=5726 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328650.710901551 mem_available_mb=5724 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328651.240792541 mem_available_mb=5722 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328651.782849780 mem_available_mb=5724 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328652.322478217 mem_available_mb=5716 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328652.856019519 mem_available_mb=5716 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328653.387936238 mem_available_mb=5716 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
1790328653.924963477 mem_available_mb=5716 swap_used_mb=6259 x3_rss_mb=232 x3_swap_mb=0
