TRACER 27459
RTT 1790329141.798 0.044
RTT 1790329142.048 0.150
RTT 1790329142.300 1.529
RTT 1790329142.548 0.116
RTT 1790329142.798 0.081
RTT 1790329143.049 0.235
RTT 1790329143.299 0.172
RTT 1790329143.549 0.223
RTT 1790329143.799 0.156
RTT 1790329144.050 0.182
RTT 1790329144.300 0.309
RTT 1790329144.550 0.150
RTT 1790329144.800 0.102
RTT 1790329145.050 0.148
RTT 1790329145.300 0.112
RTT 1790329145.551 0.191
RTT 1790329145.801 0.142
RTT 1790329146.051 0.200
RTT 1790329146.301 0.154
RTT 1790329146.551 0.194
RTT 1790329146.802 0.247
RTT 1790329147.052 0.095
RTT 1790329147.302 0.163
RTT 1790329147.552 0.193
RTT 1790329147.802 0.149
RTT 1790329148.052 0.101
RTT 1790329148.302 0.103
RTT 1790329148.553 0.351
RTT 1790329148.803 0.268
RTT 1790329149.053 0.148
RTT 1790329149.303 0.171
RTT 1790329149.553 0.104
RTT 1790329149.803 0.089
RTT 1790329150.053 0.102
RTT 1790329150.303 0.123
RTT 1790329150.554 0.132
RTT 1790329150.804 0.215
RTT 1790329151.054 0.175
RTT 1790329151.304 0.121
RTT 1790329151.554 0.108
RTT 1790329151.804 0.170
RTT 1790329152.055 0.274
RTT 1790329152.304 0.079
RTT 1790329152.555 0.083
RTT 1790329152.805 0.087
RTT 1790329153.255 200.522
RTT 1790329153.305 0.069
RTT 1790329153.875 320.038
RTT 1790329153.875 0.062
RTT 1790329154.418 293.060
RTT 1790329154.418 0.049
RTT 1790329154.987 318.800
RTT 1790329154.987 0.124
RTT 1790329155.585 347.520
RTT 1790329155.585 0.062
RTT 1790329156.187 352.435
RTT 1790329156.188 0.266
RTT 1790329156.729 291.317
RTT 1790329156.729 0.203
RTT 1790329157.379 399.489
RTT 1790329157.379 0.278
RTT 1790329157.629 0.350
RTT 1790329158.178 298.932
RTT 1790329158.178 0.156
RTT 1790329158.428 0.151
RTT 1790329158.678 0.072
RTT 1790329158.928 0.104
RTT 1790329159.179 0.167
RTT 1790329159.436 7.661
RTT 1790329159.679 0.166
RTT 1790329159.929 0.153
RTT 1790329160.228 49.221
RTT 1790329160.430 1.436
RTT 1790329160.679 0.106
RTT 1790329160.929 0.155
RTT 1790329161.180 0.158
RTT 1790329161.430 0.275
RTT 1790329161.726 46.586
RTT 1790329161.930 0.161
RTT 1790329162.181 0.309
RTT 1790329162.431 0.396
RTT 1790329162.681 0.201
RTT 1790329162.931 0.084
RTT 1790329163.181 0.198
RTT 1790329163.432 0.155
RTT 1790329163.682 0.369
RTT 1790329163.932 0.368
RTT 1790329164.182 0.186
RTT 1790329164.433 0.344
RTT 1790329164.683 0.272
RTT 1790329164.933 0.186
RTT 1790329165.184 0.532
RTT 1790329165.433 0.140
RTT 1790329165.684 0.415
RTT 1790329165.934 0.291
RTT 1790329166.184 0.389
RTT 1790329166.434 0.159
RTT 1790329166.685 0.178
RTT 1790329166.935 0.185
RTT 1790329167.185 0.117
RTT 1790329167.435 0.119
RTT 1790329167.685 0.187
RTT 1790329167.936 0.095
RTT 1790329168.186 0.076
RTT 1790329168.436 0.142
RTT 1790329168.687 0.284
RTT 1790329168.937 0.160
RTT 1790329169.187 0.119
RTT 1790329169.437 0.166
RTT 1790329169.687 0.180
RTT 1790329169.937 0.100
RTT 1790329170.187 0.155
RTT 1790329170.438 0.136
RTT 1790329170.688 0.101
RTT 1790329170.938 0.304
RTT 1790329171.188 0.303
RTT 1790329171.438 0.117
RTT 1790329171.689 0.331
RTT 1790329171.939 0.567
RTT 1790329172.189 0.364
RTT 1790329172.440 0.406
RTT 1790329172.690 0.174
RTT 1790329172.940 0.095
RTT 1790329173.190 0.086
RTT 1790329173.440 0.233
RTT 1790329173.690 0.126
RTT 1790329173.941 0.308
RTT 1790329174.191 0.279
RTT 1790329174.441 0.136
RTT 1790329174.691 0.186
RTT 1790329174.942 0.391
RTT 1790329175.192 0.073
RTT 1790329175.442 0.086
RTT 1790329175.692 0.128
RTT 1790329175.942 0.485
RTT 1790329176.192 0.090
RTT 1790329176.442 0.180
RTT 1790329176.693 0.157
RTT 1790329176.943 0.140
RTT 1790329177.193 0.078
RTT 1790329177.443 0.084
RTT 1790329177.694 0.501
RTT 1790329177.944 0.328
RTT 1790329178.194 0.359
RTT 1790329178.444 0.108
RTT 1790329178.694 0.094
RTT 1790329178.945 0.129
RTT 1790329179.195 0.130
RTT 1790329179.445 0.366
RTT 1790329179.695 0.179
RTT 1790329179.946 0.184
RTT 1790329180.196 0.142
RTT 1790329180.446 0.108
RTT 1790329180.696 0.212
RTT 1790329180.946 0.126
RTT 1790329181.196 0.119
RTT 1790329181.447 0.090
RTT 1790329181.697 0.081
RTT 1790329181.947 0.103
RTT 1790329182.197 0.120
RTT 1790329182.447 0.108
RTT 1790329182.697 0.124
RTT 1790329182.947 0.135
RTT 1790329183.197 0.090
RTT 1790329183.448 0.143
RTT 1790329183.698 0.135
RTT 1790329183.973 24.820
RTT 1790329184.228 29.670
RTT 1790329184.448 0.150
RTT 1790329184.699 0.451
