TRACER 0
RTT 1790329142.844 0.035
RTT 1790329143.094 0.103
RTT 1790329143.344 0.192
RTT 1790329143.594 0.168
RTT 1790329143.845 0.227
RTT 1790329144.095 0.237
RTT 1790329144.345 0.272
RTT 1790329144.596 0.298
RTT 1790329144.846 0.129
RTT 1790329145.096 0.333
RTT 1790329145.346 0.228
RTT 1790329145.596 0.210
RTT 1790329145.847 0.330
RTT 1790329146.097 0.349
RTT 1790329146.347 0.311
RTT 1790329146.597 0.167
RTT 1790329146.847 0.318
RTT 1790329147.097 0.129
RTT 1790329147.347 0.149
RTT 1790329147.598 0.296
RTT 1790329147.848 0.101
RTT 1790329148.099 0.680
RTT 1790329148.349 0.298
RTT 1790329148.599 0.134
RTT 1790329148.849 0.188
RTT 1790329149.099 0.107
RTT 1790329149.349 0.143
RTT 1790329149.599 0.222
RTT 1790329149.849 0.088
RTT 1790329150.100 0.572
RTT 1790329150.350 0.206
RTT 1790329150.600 0.156
RTT 1790329150.850 0.095
RTT 1790329151.100 0.151
RTT 1790329151.350 0.165
RTT 1790329151.600 0.066
RTT 1790329151.851 0.148
RTT 1790329152.101 0.164
RTT 1790329152.351 0.093
RTT 1790329152.601 0.079
RTT 1790329153.255 404.277
RTT 1790329153.255 0.071
RTT 1790329153.875 369.632
RTT 1790329153.875 0.134
RTT 1790329154.418 293.071
RTT 1790329154.418 0.137
RTT 1790329154.987 318.740
RTT 1790329154.987 0.067
RTT 1790329155.585 347.514
RTT 1790329155.585 0.072
RTT 1790329156.187 352.488
RTT 1790329156.187 0.100
RTT 1790329156.729 291.495
RTT 1790329156.729 0.067
RTT 1790329157.379 399.289
RTT 1790329157.379 0.107
RTT 1790329157.629 0.284
RTT 1790329158.178 298.951
RTT 1790329158.178 0.118
RTT 1790329158.428 0.142
RTT 1790329158.678 0.079
RTT 1790329158.928 0.132
RTT 1790329159.179 0.152
RTT 1790329159.436 7.498
RTT 1790329159.679 0.138
RTT 1790329159.929 0.115
RTT 1790329160.228 49.141
RTT 1790329160.430 1.283
RTT 1790329160.680 0.148
RTT 1790329160.931 0.642
RTT 1790329161.180 0.144
RTT 1790329161.430 0.126
RTT 1790329161.726 46.024
RTT 1790329161.931 0.191
RTT 1790329162.181 0.308
