TRACER 0
RTT 1790327946.397 0.065
RTT 1790327946.648 0.163
RTT 1790327946.898 0.152
RTT 1790327947.148 0.168
RTT 1790327947.398 0.154
RTT 1790327947.648 0.136
RTT 1790327947.898 0.095
RTT 1790327948.149 0.333
RTT 1790327948.399 0.215
RTT 1790327948.649 0.104
RTT 1790327948.899 0.070
RTT 1790327949.150 0.324
RTT 1790327949.401 0.204
RTT 1790327949.651 0.115
RTT 1790327949.901 0.158
RTT 1790327950.151 0.379
RTT 1790327950.401 0.157
RTT 1790327950.651 0.094
RTT 1790327950.901 0.123
RTT 1790327951.152 0.205
RTT 1790327951.402 0.266
RTT 1790327951.652 0.102
RTT 1790327951.902 0.191
RTT 1790327952.153 0.380
RTT 1790327952.402 0.077
RTT 1790327952.652 0.070
RTT 1790327952.903 0.077
RTT 1790327953.153 0.072
RTT 1790327953.403 0.076
RTT 1790327953.653 0.072
RTT 1790327953.903 0.075
RTT 1790327954.153 0.071
RTT 1790327954.403 0.061
RTT 1790327954.659 5.575
RTT 1790327954.903 0.064
RTT 1790327955.153 0.064
RTT 1790327955.404 0.161
RTT 1790327955.686 32.639
RTT 1790327955.904 0.061
RTT 1790327956.154 0.129
RTT 1790327956.404 0.085
RTT 1790327956.654 0.086
RTT 1790327956.904 0.078
RTT 1790327957.154 0.217
RTT 1790327957.404 0.074
RTT 1790327957.654 0.064
RTT 1790327957.904 0.083
RTT 1790327958.165 10.496
RTT 1790327958.405 0.170
RTT 1790327958.655 0.390
RTT 1790327958.906 0.317
RTT 1790327959.156 0.155
RTT 1790327959.406 0.384
RTT 1790327959.656 0.079
RTT 1790327959.906 0.095
RTT 1790327960.156 0.258
RTT 1790327960.406 0.282
RTT 1790327960.657 0.334
RTT 1790327960.907 0.074
RTT 1790327961.157 0.316
RTT 1790327961.407 0.373
RTT 1790327961.657 0.172
RTT 1790327961.907 0.079
RTT 1790327962.158 0.102
RTT 1790327962.408 0.383
RTT 1790327962.658 0.102
RTT 1790327962.908 0.219
RTT 1790327963.159 0.355
RTT 1790327963.409 0.259
RTT 1790327963.659 0.077
RTT 1790327963.909 0.369
RTT 1790327964.159 0.071
RTT 1790327964.409 0.078
RTT 1790327964.659 0.133
RTT 1790327964.909 0.103
RTT 1790327965.160 0.269
RTT 1790327965.410 0.318
RTT 1790327965.661 0.340
RTT 1790327965.911 0.107
RTT 1790327966.161 0.286
RTT 1790327966.411 0.067
RTT 1790327966.661 0.172
RTT 1790327966.911 0.159
RTT 1790327967.161 0.102
RTT 1790327967.412 0.337
RTT 1790327967.662 0.076
RTT 1790327967.912 0.111
RTT 1790327968.162 0.254
RTT 1790327968.412 0.066
RTT 1790327968.662 0.096
RTT 1790327968.913 0.089
RTT 1790327969.163 0.188
RTT 1790327969.414 0.186
RTT 1790327969.664 0.325
RTT 1790327969.914 0.191
RTT 1790327970.165 0.347
RTT 1790327970.415 0.206
RTT 1790327970.666 0.304
RTT 1790327970.916 0.117
RTT 1790327971.166 0.124
RTT 1790327971.417 0.152
RTT 1790327971.667 0.168
RTT 1790327971.917 0.092
RTT 1790327972.168 0.392
RTT 1790327972.419 0.259
RTT 1790327972.669 0.192
RTT 1790327972.919 0.091
RTT 1790327973.169 0.121
RTT 1790327973.419 0.122
RTT 1790327973.670 0.174
RTT 1790327973.920 0.117
RTT 1790327974.170 0.295
RTT 1790327974.421 0.174
RTT 1790327974.671 0.774
RTT 1790327974.921 0.093
RTT 1790327975.171 0.345
RTT 1790327975.421 0.131
RTT 1790327975.672 0.388
RTT 1790327975.922 0.336
RTT 1790327976.172 0.341
RTT 1790327976.423 0.230
RTT 1790327976.673 0.121
RTT 1790327976.923 0.187
RTT 1790327977.173 0.068
RTT 1790327977.423 0.085
RTT 1790327977.673 0.069
RTT 1790327977.923 0.079
RTT 1790327978.173 0.068
RTT 1790327978.423 0.072
RTT 1790327978.673 0.084
RTT 1790327978.923 0.063
RTT 1790327979.174 0.053
RTT 1790327979.424 0.278
RTT 1790327979.674 0.191
RTT 1790327979.924 0.073
RTT 1790327980.176 2.292
RTT 1790327980.424 0.173
RTT 1790327980.674 0.073
RTT 1790327980.925 0.324
RTT 1790327981.175 0.221
RTT 1790327981.429 4.374
RTT 1790327981.675 0.057
RTT 1790327981.925 0.108
RTT 1790327982.175 0.083
RTT 1790327982.425 0.165
RTT 1790327982.677 1.093
RTT 1790327982.926 0.069
RTT 1790327983.176 0.364
RTT 1790327983.426 0.328
RTT 1790327983.681 4.630
RTT 1790327983.926 0.076
RTT 1790327984.176 0.048
RTT 1790327984.431 4.279
RTT 1790327984.679 2.688
RTT 1790327984.927 0.150
RTT 1790327985.177 0.320
RTT 1790327985.429 1.948
RTT 1790327985.678 0.727
RTT 1790327985.927 0.138
RTT 1790327986.178 0.139
RTT 1790327986.428 0.251
RTT 1790327986.680 2.676
RTT 1790327986.931 3.721
RTT 1790327987.178 0.102
RTT 1790327987.428 0.184
RTT 1790327987.680 2.313
RTT 1790327987.930 2.031
RTT 1790327988.178 0.068
RTT 1790327988.429 0.292
RTT 1790327988.679 0.235
RTT 1790327988.930 1.269
RTT 1790327989.181 2.422
RTT 1790327989.430 0.874
RTT 1790327989.680 0.983
RTT 1790327989.930 0.114
RTT 1790327990.184 3.674
RTT 1790327990.434 3.230
RTT 1790327990.681 0.064
RTT 1790327990.931 0.065
RTT 1790327991.182 0.993
RTT 1790327991.431 0.512
RTT 1790327991.681 0.090
RTT 1790327991.935 3.853
RTT 1790327992.184 2.473
RTT 1790327992.431 0.095
RTT 1790327992.681 0.078
RTT 1790327992.932 0.617
RTT 1790327993.184 2.217
RTT 1790327993.432 0.213
RTT 1790327993.684 1.896
RTT 1790327993.937 4.923
RTT 1790327994.183 0.887
RTT 1790327994.432 0.075
RTT 1790327994.688 5.423
RTT 1790327994.933 0.826
RTT 1790327995.183 0.263
RTT 1790327995.436 2.531
RTT 1790327995.684 0.938
RTT 1790327995.933 0.095
RTT 1790327996.183 0.214
RTT 1790327996.437 3.625
RTT 1790327996.685 0.935
RTT 1790327996.934 0.773
RTT 1790327997.184 0.083
RTT 1790327997.434 0.281
RTT 1790327997.688 3.676
RTT 1790327997.939 4.181
RTT 1790327998.185 0.323
RTT 1790327998.435 0.156
RTT 1790327998.688 2.959
RTT 1790327998.944 8.543
RTT 1790327999.192 6.726
RTT 1790327999.440 1.889
RTT 1790327999.693 4.848
RTT 1790327999.941 2.283
RTT 1790328000.189 0.187
RTT 1790328000.439 0.375
RTT 1790328000.700 10.986
RTT 1790328000.942 3.222
RTT 1790328001.195 6.324
RTT 1790328001.444 4.688
RTT 1790328001.696 6.570
RTT 1790328001.940 0.123
RTT 1790328002.190 0.191
