TRACER 27459
RTT 1790328867.033 0.050
RTT 1790328867.284 0.077
RTT 1790328867.534 0.082
RTT 1790328867.784 0.216
RTT 1790328868.034 0.089
RTT 1790328868.284 0.217
RTT 1790328868.535 0.172
RTT 1790328868.785 0.321
RTT 1790328869.035 0.095
RTT 1790328869.285 0.312
RTT 1790328869.536 0.267
RTT 1790328869.786 0.294
RTT 1790328870.036 0.349
RTT 1790328870.286 0.119
RTT 1790328870.536 0.112
RTT 1790328870.787 0.195
RTT 1790328871.037 0.193
RTT 1790328871.287 0.255
RTT 1790328871.537 0.110
RTT 1790328871.788 0.429
RTT 1790328872.038 0.118
RTT 1790328872.288 0.177
RTT 1790328872.538 0.297
RTT 1790328872.788 0.079
RTT 1790328873.039 0.292
RTT 1790328873.289 0.109
RTT 1790328873.539 0.108
RTT 1790328873.789 0.141
RTT 1790328874.039 0.149
RTT 1790328874.289 0.143
RTT 1790328874.540 0.251
RTT 1790328874.790 0.089
RTT 1790328875.040 0.190
RTT 1790328875.291 0.279
RTT 1790328875.541 0.119
RTT 1790328875.791 0.134
RTT 1790328876.041 0.121
RTT 1790328876.291 0.148
RTT 1790328876.541 0.073
RTT 1790328876.791 0.083
RTT 1790328877.041 0.081
RTT 1790328877.296 4.649
RTT 1790328877.542 0.084
RTT 1790328877.792 0.097
RTT 1790328878.043 1.218
RTT 1790328878.292 0.151
RTT 1790328878.542 0.192
RTT 1790328878.813 20.838
RTT 1790328879.042 0.099
RTT 1790328879.292 0.079
RTT 1790328879.544 0.217
RTT 1790328879.794 0.072
RTT 1790328880.044 0.078
RTT 1790328880.294 0.061
RTT 1790328880.544 0.083
RTT 1790328880.795 0.077
RTT 1790328881.045 0.071
RTT 1790328881.295 0.071
RTT 1790328881.545 0.074
RTT 1790328881.795 0.073
RTT 1790328882.045 0.073
RTT 1790328882.295 0.089
RTT 1790328882.545 0.080
RTT 1790328882.795 0.133
RTT 1790328883.045 0.084
RTT 1790328883.295 0.072
RTT 1790328883.546 0.082
RTT 1790328883.796 0.084
RTT 1790328884.046 0.095
RTT 1790328884.296 0.073
RTT 1790328884.546 0.107
RTT 1790328884.797 0.089
RTT 1790328885.047 0.075
RTT 1790328885.297 0.125
RTT 1790328885.547 0.079
RTT 1790328885.797 0.115
RTT 1790328886.047 0.330
RTT 1790328886.297 0.106
RTT 1790328886.548 0.173
RTT 1790328886.798 0.068
RTT 1790328887.048 0.378
RTT 1790328887.299 0.924
RTT 1790328887.548 0.302
RTT 1790328887.799 0.182
RTT 1790328888.049 0.316
RTT 1790328888.299 0.277
RTT 1790328888.549 0.328
RTT 1790328888.799 0.119
RTT 1790328889.050 0.193
RTT 1790328889.300 0.235
RTT 1790328889.550 0.079
RTT 1790328889.800 0.104
RTT 1790328890.050 0.080
RTT 1790328890.300 0.092
RTT 1790328890.550 0.095
RTT 1790328890.801 0.225
RTT 1790328891.051 0.100
RTT 1790328891.301 0.213
RTT 1790328891.551 0.138
RTT 1790328891.801 0.247
RTT 1790328892.051 0.122
RTT 1790328892.302 0.140
RTT 1790328892.552 0.141
RTT 1790328892.802 0.171
RTT 1790328893.052 0.153
RTT 1790328893.302 0.194
RTT 1790328893.552 0.109
RTT 1790328893.803 0.092
RTT 1790328894.053 0.085
RTT 1790328894.303 0.097
RTT 1790328894.553 0.140
RTT 1790328894.803 0.095
RTT 1790328895.054 0.204
RTT 1790328895.304 0.087
RTT 1790328895.554 0.113
RTT 1790328895.804 0.097
