TRACER 15010
RTT 1790306690.212 0.203
RTT 1790306690.462 0.417
RTT 1790306690.712 0.334
RTT 1790306690.963 0.279
RTT 1790306691.213 0.331
RTT 1790306691.463 0.268
RTT 1790306691.714 0.309
RTT 1790306691.965 0.691
RTT 1790306692.215 0.294
RTT 1790306692.467 0.330
RTT 1790306692.718 0.928
RTT 1790306692.969 0.331
RTT 1790306693.219 0.268
RTT 1790306693.472 0.539
RTT 1790306693.722 0.292
RTT 1790306693.972 0.336
RTT 1790306694.222 0.284
RTT 1790306694.474 0.776
RTT 1790306694.723 0.315
RTT 1790306694.974 0.337
RTT 1790306695.224 0.263
RTT 1790306695.479 0.607
RTT 1790306695.729 0.296
RTT 1790306695.979 0.296
RTT 1790306696.230 0.605
RTT 1790306696.480 0.353
RTT 1790306696.731 0.367
RTT 1790306696.981 0.306
RTT 1790306697.231 0.330
RTT 1790306697.483 0.353
RTT 1790306697.733 0.305
RTT 1790306697.984 1.010
RTT 1790306698.236 1.063
RTT 1790306698.486 0.324
RTT 1790306698.737 0.560
RTT 1790306698.987 0.262
RTT 1790306699.238 1.015
RTT 1790306699.489 0.388
RTT 1790306699.740 1.184
RTT 1790306699.990 0.567
RTT 1790306700.241 0.772
RTT 1790306700.491 0.281
RTT 1790306700.741 0.297
RTT 1790306700.991 0.330
RTT 1790306701.242 0.292
RTT 1790306701.492 0.565
RTT 1790306701.742 0.272
RTT 1790306701.993 0.361
RTT 1790306702.244 0.289
RTT 1790306702.494 0.317
RTT 1790306702.745 0.302
RTT 1790306702.997 1.837
RTT 1790306704.218 973.250
RTT 1790306704.218 0.238
RTT 1790306704.470 1.418
RTT 1790306704.719 0.322
RTT 1790306704.970 0.540
RTT 1790306705.220 0.349
RTT 1790306705.471 0.514
RTT 1790306705.721 0.644
RTT 1790306705.974 0.277
RTT 1790306706.224 0.200
RTT 1790306706.474 0.408
RTT 1790306706.725 0.668
RTT 1790306706.976 0.394
RTT 1790306707.226 0.314
RTT 1790306707.477 0.278
RTT 1790306707.728 0.476
RTT 1790306707.979 1.355
RTT 1790306708.230 1.387
RTT 1790306708.482 1.275
RTT 1790306708.731 0.288
RTT 1790306708.981 0.290
RTT 1790306709.232 1.004
RTT 1790306709.485 0.631
RTT 1790306709.735 0.307
RTT 1790306709.985 0.303
RTT 1790306710.235 0.392
RTT 1790306710.486 0.448
RTT 1790306710.736 0.420
RTT 1790306710.987 0.366
RTT 1790306711.238 0.718
RTT 1790306711.488 0.461
RTT 1790306711.739 0.333
RTT 1790306711.989 0.375
RTT 1790306712.240 0.416
RTT 1790306712.490 0.509
RTT 1790306712.741 0.303
RTT 1790306712.991 0.328
RTT 1790306713.241 0.326
RTT 1790306713.492 0.290
RTT 1790306713.742 0.296
RTT 1790306713.992 0.454
RTT 1790306715.222 979.899
RTT 1790306715.224 1.690
RTT 1790306715.473 0.113
RTT 1790306715.723 0.098
RTT 1790306715.974 0.311
RTT 1790306716.224 0.309
RTT 1790306716.475 0.299
RTT 1790306716.725 0.373
RTT 1790306716.976 0.308
RTT 1790306717.226 0.319
RTT 1790306717.477 0.739
RTT 1790306717.727 0.739
RTT 1790306717.979 1.163
RTT 1790306718.231 2.364
RTT 1790306718.481 0.454
RTT 1790306718.732 1.679
RTT 1790306718.981 0.309
RTT 1790306719.232 0.415
RTT 1790306719.482 0.301
RTT 1790306719.733 0.382
RTT 1790306719.984 0.434
RTT 1790306720.235 0.570
RTT 1790306720.485 0.264
RTT 1790306720.735 0.338
RTT 1790306720.986 0.269
RTT 1790306721.236 0.538
RTT 1790306721.486 0.340
RTT 1790306721.737 0.319
RTT 1790306721.988 1.571
RTT 1790306722.238 0.295
RTT 1790306722.488 0.360
RTT 1790306722.739 0.294
RTT 1790306722.989 0.314
RTT 1790306723.240 0.403
RTT 1790306723.491 1.288
RTT 1790306723.741 0.269
RTT 1790306723.991 0.268
RTT 1790306724.241 0.298
RTT 1790306724.491 0.320
RTT 1790306724.742 0.303
RTT 1790306724.992 0.611
RTT 1790306726.230 987.678
RTT 1790306726.230 0.153
RTT 1790306726.480 0.077
RTT 1790306726.730 0.099
RTT 1790306726.981 0.177
RTT 1790306727.231 0.110
RTT 1790306727.481 0.182
RTT 1790306727.732 0.187
RTT 1790306727.982 0.076
RTT 1790306728.232 0.106
RTT 1790306728.482 0.128
RTT 1790306728.733 0.129
RTT 1790306728.983 0.170
RTT 1790306729.233 0.111
RTT 1790306729.484 0.126
RTT 1790306729.734 0.167
RTT 1790306729.985 0.148
RTT 1790306730.235 0.356
RTT 1790306730.485 0.129
RTT 1790306730.736 0.312
RTT 1790306730.986 0.081
RTT 1790306731.236 0.482
RTT 1790306731.486 0.125
RTT 1790306731.736 0.165
RTT 1790306731.987 0.341
