TRACER 0
RTT 1790306690.061 0.303
RTT 1790306690.312 0.906
RTT 1790306690.562 0.296
RTT 1790306690.813 0.321
RTT 1790306691.066 0.395
RTT 1790306691.317 0.420
RTT 1790306691.568 0.838
RTT 1790306691.818 0.309
RTT 1790306692.069 0.382
RTT 1790306692.320 0.402
RTT 1790306692.570 0.306
RTT 1790306692.821 0.295
RTT 1790306693.071 0.308
RTT 1790306693.325 0.543
RTT 1790306693.575 0.413
RTT 1790306693.825 0.400
RTT 1790306694.075 0.303
RTT 1790306694.326 0.303
RTT 1790306694.581 2.247
RTT 1790306694.830 0.674
RTT 1790306695.080 0.446
RTT 1790306695.331 0.424
RTT 1790306695.583 2.374
RTT 1790306695.831 0.356
RTT 1790306696.082 0.301
RTT 1790306696.332 0.344
RTT 1790306696.584 0.351
RTT 1790306696.835 0.537
RTT 1790306697.085 1.049
RTT 1790306697.335 0.327
RTT 1790306697.586 0.318
RTT 1790306697.837 1.126
RTT 1790306698.086 0.305
RTT 1790306698.337 0.387
RTT 1790306698.587 0.403
RTT 1790306698.838 0.287
RTT 1790306699.090 0.388
RTT 1790306699.342 1.243
RTT 1790306699.592 0.311
RTT 1790306699.842 0.528
RTT 1790306700.093 1.048
RTT 1790306700.344 1.021
RTT 1790306700.594 0.301
RTT 1790306700.844 0.336
RTT 1790306701.095 0.294
RTT 1790306701.346 0.350
RTT 1790306701.597 0.276
RTT 1790306701.847 0.310
RTT 1790306702.102 1.224
RTT 1790306702.351 0.298
RTT 1790306702.601 0.341
RTT 1790306702.852 0.293
RTT 1790306703.102 0.354
RTT 1790306704.219 866.427
RTT 1790306704.219 0.354
RTT 1790306704.471 1.340
RTT 1790306704.720 0.287
RTT 1790306704.970 0.220
RTT 1790306705.221 0.274
RTT 1790306705.471 0.333
RTT 1790306705.721 0.382
RTT 1790306705.972 0.545
RTT 1790306706.223 0.853
RTT 1790306706.477 3.415
RTT 1790306706.724 0.407
RTT 1790306706.978 1.073
RTT 1790306707.228 0.642
RTT 1790306707.478 0.212
RTT 1790306707.729 0.540
RTT 1790306707.980 0.461
RTT 1790306708.232 0.381
RTT 1790306708.482 0.248
RTT 1790306708.733 0.219
RTT 1790306708.983 0.225
RTT 1790306709.233 0.240
RTT 1790306709.485 0.552
RTT 1790306709.736 0.262
RTT 1790306709.987 0.293
RTT 1790306710.237 0.569
RTT 1790306710.488 0.618
RTT 1790306710.740 1.516
RTT 1790306710.989 0.222
RTT 1790306711.240 0.299
RTT 1790306711.490 0.329
RTT 1790306711.741 0.404
RTT 1790306711.991 0.264
RTT 1790306712.242 0.629
RTT 1790306712.493 1.067
RTT 1790306712.743 0.493
RTT 1790306712.993 0.219
RTT 1790306713.244 0.619
RTT 1790306713.494 0.212
RTT 1790306713.744 0.251
RTT 1790306713.994 0.326
RTT 1790306715.233 988.589
RTT 1790306715.233 0.182
RTT 1790306715.483 0.107
RTT 1790306715.734 0.124
RTT 1790306715.984 0.189
RTT 1790306716.240 5.941
RTT 1790306716.485 0.240
RTT 1790306716.735 0.377
RTT 1790306716.986 0.266
RTT 1790306717.236 0.319
RTT 1790306717.486 0.305
RTT 1790306717.737 0.376
RTT 1790306717.987 0.266
RTT 1790306718.237 0.245
RTT 1790306718.492 4.817
RTT 1790306718.739 0.761
RTT 1790306718.989 0.377
RTT 1790306719.241 1.482
RTT 1790306719.491 0.339
RTT 1790306719.741 1.032
RTT 1790306719.992 0.284
RTT 1790306720.243 0.311
RTT 1790306720.495 2.236
RTT 1790306720.744 0.343
RTT 1790306720.994 0.273
RTT 1790306721.245 0.627
RTT 1790306721.495 0.263
RTT 1790306721.745 0.293
RTT 1790306721.995 0.376
RTT 1790306722.250 2.123
RTT 1790306722.498 0.599
RTT 1790306722.748 0.262
RTT 1790306722.999 0.306
RTT 1790306723.249 0.266
RTT 1790306723.500 0.526
RTT 1790306723.750 0.282
RTT 1790306724.000 0.242
RTT 1790306724.251 0.789
RTT 1790306724.501 0.287
RTT 1790306724.753 0.417
RTT 1790306725.003 0.347
RTT 1790306726.230 976.735
RTT 1790306726.230 0.053
RTT 1790306726.480 0.044
RTT 1790306726.730 0.150
RTT 1790306726.981 0.437
RTT 1790306727.231 0.146
RTT 1790306727.481 0.262
RTT 1790306727.732 1.080
RTT 1790306727.981 0.128
RTT 1790306728.231 0.170
RTT 1790306728.481 0.163
RTT 1790306728.732 0.225
RTT 1790306728.983 0.161
RTT 1790306729.233 0.212
RTT 1790306729.483 0.166
RTT 1790306729.734 0.229
RTT 1790306729.984 0.168
RTT 1790306730.234 0.165
RTT 1790306730.484 0.179
RTT 1790306730.735 0.327
RTT 1790306730.985 0.142
