TRACER 15010
RTT 1790305415.666 0.030
RTT 1790305415.916 0.063
RTT 1790305416.167 0.141
RTT 1790305416.417 0.108
RTT 1790305416.667 0.070
RTT 1790305416.917 0.058
RTT 1790305417.167 0.289
RTT 1790305417.417 0.061
RTT 1790305417.667 0.060
RTT 1790305417.918 0.137
RTT 1790305418.168 0.115
RTT 1790305418.418 0.072
RTT 1790305418.668 0.217
RTT 1790305418.918 0.152
RTT 1790305419.169 0.169
RTT 1790305419.419 0.114
RTT 1790305419.669 0.111
RTT 1790305419.919 0.235
RTT 1790305420.169 0.113
RTT 1790305420.420 0.120
RTT 1790305420.670 0.074
RTT 1790305420.920 0.063
RTT 1790305421.170 0.036
RTT 1790305421.420 0.073
RTT 1790305421.671 0.267
RTT 1790305422.082 161.554
RTT 1790305422.171 0.059
RTT 1790305422.421 0.115
RTT 1790305422.671 0.077
RTT 1790305422.921 0.080
RTT 1790305423.172 0.097
RTT 1790305423.422 0.291
RTT 1790305423.783 111.181
RTT 1790305423.922 0.119
RTT 1790305424.173 0.114
RTT 1790305424.423 0.113
RTT 1790305424.673 0.155
RTT 1790305424.923 0.097
RTT 1790305425.174 0.480
RTT 1790305425.484 60.866
RTT 1790305425.674 0.107
RTT 1790305425.925 0.085
RTT 1790305426.175 0.030
RTT 1790305426.425 0.035
RTT 1790305426.675 0.029
RTT 1790305426.925 0.060
RTT 1790305427.185 9.782
RTT 1790305427.426 0.066
RTT 1790305427.676 0.239
RTT 1790305427.926 0.127
RTT 1790305428.176 0.168
RTT 1790305428.427 0.128
RTT 1790305428.677 0.072
RTT 1790305428.927 0.102
RTT 1790305429.177 0.073
RTT 1790305429.428 0.114
RTT 1790305429.678 0.153
RTT 1790305429.928 0.055
RTT 1790305430.178 0.052
RTT 1790305430.586 158.086
RTT 1790305430.679 0.161
RTT 1790305430.929 0.373
RTT 1790305431.179 0.133
RTT 1790305431.429 0.180
RTT 1790305431.679 0.124
RTT 1790305431.929 0.158
RTT 1790305432.287 107.627
RTT 1790305432.430 0.133
RTT 1790305432.680 0.081
RTT 1790305432.930 0.068
RTT 1790305433.180 0.102
RTT 1790305433.432 1.021
RTT 1790305433.681 0.140
RTT 1790305433.989 57.763
RTT 1790305434.182 0.122
RTT 1790305434.432 0.117
RTT 1790305434.682 0.134
RTT 1790305434.933 0.186
RTT 1790305435.183 0.100
RTT 1790305435.433 0.113
RTT 1790305435.690 6.772
RTT 1790305435.933 0.111
RTT 1790305436.184 0.229
RTT 1790305436.434 0.095
RTT 1790305436.684 0.176
RTT 1790305436.934 0.451
RTT 1790305437.184 0.113
RTT 1790305437.435 0.269
RTT 1790305437.685 0.106
RTT 1790305438.698 763.531
RTT 1790305438.698 0.062
RTT 1790305438.949 0.254
RTT 1790305439.199 0.107
RTT 1790305439.449 0.137
RTT 1790305439.699 0.123
RTT 1790305439.949 0.074
RTT 1790305440.199 0.224
RTT 1790305440.450 0.749
RTT 1790305441.699 998.776
RTT 1790305441.699 0.107
RTT 1790305441.950 1.716
RTT 1790305442.199 0.078
RTT 1790305442.449 0.089
RTT 1790305442.699 0.084
RTT 1790305442.949 0.092
RTT 1790305443.200 0.379
RTT 1790305443.450 0.202
RTT 1790305444.701 1000.044
RTT 1790305444.701 0.529
RTT 1790305444.951 0.176
RTT 1790305445.202 0.194
RTT 1790305445.452 0.195
RTT 1790305445.702 0.439
RTT 1790305445.952 0.144
RTT 1790305446.204 1.251
RTT 1790305446.453 0.730
RTT 1790305447.700 997.694
RTT 1790305447.701 0.140
RTT 1790305447.951 0.133
RTT 1790305448.201 0.256
RTT 1790305448.451 0.105
RTT 1790305448.701 0.225
RTT 1790305448.951 0.191
RTT 1790305449.202 0.294
RTT 1790305449.452 0.362
RTT 1790305450.701 999.239
RTT 1790305450.702 0.547
RTT 1790305450.952 0.143
RTT 1790305451.202 0.172
RTT 1790305451.452 0.227
RTT 1790305451.703 0.086
RTT 1790305451.953 0.131
RTT 1790305452.203 0.178
RTT 1790305452.453 0.180
RTT 1790305452.704 0.173
RTT 1790305452.954 0.100
RTT 1790305453.204 0.225
RTT 1790305453.455 0.443
RTT 1790305453.705 0.162
RTT 1790305453.955 0.195
RTT 1790305454.205 0.264
RTT 1790305454.455 0.294
RTT 1790305454.706 0.284
RTT 1790305454.956 0.191
RTT 1790305455.206 0.235
RTT 1790305455.456 0.261
RTT 1790305455.706 0.258
RTT 1790305455.957 0.402
RTT 1790305456.207 0.177
RTT 1790305456.457 0.354
RTT 1790305456.707 0.097
RTT 1790305456.957 0.089
RTT 1790305457.207 0.270
RTT 1790305457.458 0.245
RTT 1790305457.708 0.237
RTT 1790305457.958 0.100
RTT 1790305458.208 0.295
RTT 1790305458.458 0.329
RTT 1790305458.708 0.124
RTT 1790305458.959 0.311
RTT 1790305459.209 0.321
RTT 1790305459.459 0.194
RTT 1790305459.709 0.169
RTT 1790305459.960 0.257
RTT 1790305460.211 0.590
RTT 1790305460.460 0.265
