TRACER 0
RTT 1790305415.665 0.073
RTT 1790305415.915 0.125
RTT 1790305416.166 0.180
RTT 1790305416.416 0.162
RTT 1790305416.666 0.108
RTT 1790305416.916 0.088
RTT 1790305417.166 0.353
RTT 1790305417.416 0.129
RTT 1790305417.666 0.095
RTT 1790305417.917 0.218
RTT 1790305418.168 0.202
RTT 1790305418.418 0.231
RTT 1790305418.668 0.385
RTT 1790305418.918 0.326
RTT 1790305419.169 0.302
RTT 1790305419.419 0.193
RTT 1790305419.669 0.345
RTT 1790305419.919 0.221
RTT 1790305420.169 0.229
RTT 1790305420.419 0.369
RTT 1790305420.669 0.095
RTT 1790305420.919 0.073
RTT 1790305421.170 0.324
RTT 1790305421.420 0.221
RTT 1790305421.671 0.665
RTT 1790305422.082 162.076
RTT 1790305422.170 0.114
RTT 1790305422.421 0.156
RTT 1790305422.671 0.147
RTT 1790305422.921 0.159
RTT 1790305423.171 0.172
RTT 1790305423.421 0.132
RTT 1790305423.783 111.801
RTT 1790305423.922 0.115
RTT 1790305424.173 0.916
RTT 1790305424.422 0.207
RTT 1790305424.672 0.215
RTT 1790305424.922 0.134
RTT 1790305425.173 0.164
RTT 1790305425.485 61.876
RTT 1790305425.673 0.400
RTT 1790305425.927 3.543
RTT 1790305426.174 0.063
RTT 1790305426.424 0.080
RTT 1790305426.675 0.704
RTT 1790305426.925 0.151
RTT 1790305427.185 10.671
RTT 1790305427.425 0.201
RTT 1790305427.675 0.196
RTT 1790305427.925 0.080
RTT 1790305428.175 0.233
RTT 1790305428.425 0.156
RTT 1790305428.675 0.104
RTT 1790305428.926 0.082
RTT 1790305429.176 0.109
RTT 1790305429.426 0.269
RTT 1790305429.676 0.175
RTT 1790305429.927 0.088
RTT 1790305430.177 0.102
RTT 1790305430.586 159.760
RTT 1790305430.677 0.309
RTT 1790305430.928 0.161
RTT 1790305431.178 0.150
RTT 1790305431.428 0.095
RTT 1790305431.678 0.266
RTT 1790305431.928 0.242
RTT 1790305432.287 109.064
RTT 1790305432.429 0.324
RTT 1790305432.678 0.088
RTT 1790305432.929 0.086
RTT 1790305433.179 0.188
RTT 1790305433.430 0.260
RTT 1790305433.680 0.211
RTT 1790305433.989 59.452
RTT 1790305434.180 0.319
RTT 1790305434.430 0.218
RTT 1790305434.681 0.489
RTT 1790305434.931 0.146
RTT 1790305435.181 0.162
RTT 1790305435.432 0.512
RTT 1790305435.690 9.049
RTT 1790305435.931 0.097
RTT 1790305436.182 0.172
RTT 1790305436.432 0.134
RTT 1790305436.682 0.470
RTT 1790305436.932 0.252
RTT 1790305437.183 0.206
RTT 1790305437.433 0.388
RTT 1790305437.683 0.205
RTT 1790305438.698 764.699
RTT 1790305438.698 0.080
RTT 1790305438.949 0.051
RTT 1790305439.199 0.146
RTT 1790305439.449 0.128
RTT 1790305439.699 0.103
RTT 1790305439.949 0.096
RTT 1790305440.199 0.158
RTT 1790305440.450 0.164
RTT 1790305441.699 999.201
RTT 1790305441.699 0.043
RTT 1790305441.951 0.220
RTT 1790305442.201 0.091
RTT 1790305442.451 0.075
RTT 1790305442.701 0.069
RTT 1790305442.951 0.075
RTT 1790305443.201 0.112
RTT 1790305443.451 0.112
RTT 1790305444.701 999.991
RTT 1790305444.701 0.131
RTT 1790305444.952 0.110
RTT 1790305445.202 0.124
RTT 1790305445.452 0.177
RTT 1790305445.703 0.151
RTT 1790305445.953 0.463
RTT 1790305446.204 0.663
RTT 1790305446.453 0.165
RTT 1790305447.701 997.251
RTT 1790305447.701 0.114
RTT 1790305447.951 0.181
RTT 1790305448.201 0.218
RTT 1790305448.451 0.163
RTT 1790305448.702 0.177
RTT 1790305448.952 0.292
RTT 1790305449.202 0.112
RTT 1790305449.453 0.340
RTT 1790305450.703 1000.006
RTT 1790305450.703 0.112
RTT 1790305450.953 0.238
RTT 1790305451.203 0.122
RTT 1790305451.454 0.258
RTT 1790305451.704 0.063
RTT 1790305451.954 0.168
RTT 1790305452.204 0.173
RTT 1790305452.455 0.918
RTT 1790305452.705 0.086
RTT 1790305452.955 0.089
RTT 1790305453.205 0.143
RTT 1790305453.455 0.153
RTT 1790305453.706 0.284
RTT 1790305453.956 0.163
RTT 1790305454.206 0.129
RTT 1790305454.456 0.112
RTT 1790305454.706 0.128
RTT 1790305454.957 0.227
RTT 1790305455.208 0.143
RTT 1790305455.458 0.087
RTT 1790305455.708 0.110
RTT 1790305455.958 0.113
RTT 1790305456.208 0.218
RTT 1790305456.459 0.155
RTT 1790305456.709 0.095
RTT 1790305456.959 0.101
RTT 1790305457.209 0.131
RTT 1790305457.460 0.129
RTT 1790305457.710 0.139
RTT 1790305457.960 0.111
RTT 1790305458.210 0.325
RTT 1790305458.461 1.153
RTT 1790305458.710 0.081
RTT 1790305458.961 0.138
RTT 1790305459.211 0.170
RTT 1790305459.461 0.174
RTT 1790305459.711 0.082
RTT 1790305459.962 0.133
RTT 1790305460.212 0.174
RTT 1790305460.462 0.140
